"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-68_ILO","en","0/1","Professional, Technical and Related Workers",1,0
"ISCO-68_ILO","en","0-1","Physical Scientists and Related Technicians",2,100
"ISCO-68_ILO","en","0-11","Chemists",3,110
"ISCO-68_ILO","en","0-12","Physicists",4,120
"ISCO-68_ILO","en","0-13","Physical scientists not elsewhere classified",5,130
"ISCO-68_ILO","en","0-14","Physical science technicians",6,140
"ISCO-68_ILO","en","0-2/0-3","Architects, Engineers and Related Technicians",7,200
"ISCO-68_ILO","en","0-21","Architects and town planners",8,210
"ISCO-68_ILO","en","0-22","Civil engineers",9,220
"ISCO-68_ILO","en","0-23","Electrical and electronics engineers",10,230
"ISCO-68_ILO","en","0-24","Mechanical engineers",11,240
"ISCO-68_ILO","en","0-25","Chemical engineers",12,250
"ISCO-68_ILO","en","0-26","Metallurgists",13,260
"ISCO-68_ILO","en","0-27","Mining engineers",14,270
"ISCO-68_ILO","en","0-28","Industrial engineers",15,280
"ISCO-68_ILO","en","0-29","Engineers not elsewhere classified",16,290
"ISCO-68_ILO","en","0-31","Surveyors",17,310
"ISCO-68_ILO","en","0-32","Draughtsmen",18,320
"ISCO-68_ILO","en","0-33","Civil engineering technicians",19,330
"ISCO-68_ILO","en","0-34","Electrical and electronics engineering technicians",20,340
"ISCO-68_ILO","en","0-35","Mechanical engineering technicians",21,350
"ISCO-68_ILO","en","0-36","Chemical engineering technicians",22,360
"ISCO-68_ILO","en","0-37","Metallurgical technicians",23,370
"ISCO-68_ILO","en","0-38","Mining technicians",24,380
"ISCO-68_ILO","en","0-39","Engineering technicians not elsewhere classified",25,390
"ISCO-68_ILO","en","0-4","Aircraft and Ships' Officers",26,400
"ISCO-68_ILO","en","0-41","Aircraft pilots, navigators and flight engineers",27,410
"ISCO-68_ILO","en","0-42","Ships' deck officers and pilots",28,420
"ISCO-68_ILO","en","0-43","Ships' engineers",29,430
"ISCO-68_ILO","en","0-5","Life Scientists and Related Technicians",30,500
"ISCO-68_ILO","en","0-51","Biologists, zoologists and related scientists",31,510
"ISCO-68_ILO","en","0-52","Bacteriologists, pharmacologists and related scientists",32,520
"ISCO-68_ILO","en","0-53","Agronomists and related scientists",33,530
"ISCO-68_ILO","en","0-54","Life sciences technicians",34,540
"ISCO-68_ILO","en","0-6/0-7","Medical, Dental, Veterinary and Related Workers",35,600
"ISCO-68_ILO","en","0-61","Medical doctors",36,610
"ISCO-68_ILO","en","0-62","Medical assistants",37,620
"ISCO-68_ILO","en","0-63","Dentists",38,630
"ISCO-68_ILO","en","0-64","Dental assistants",39,640
"ISCO-68_ILO","en","0-65","Veterinarians",40,650
"ISCO-68_ILO","en","0-66","Veterinary assistants",41,660
"ISCO-68_ILO","en","0-67","Pharmacists",42,670
"ISCO-68_ILO","en","0-68","Pharmaceutical assistants",43,680
"ISCO-68_ILO","en","0-69","Dietitians and public health nutritionists",44,690
"ISCO-68_ILO","en","0-71","Professional nurses",45,710
"ISCO-68_ILO","en","0-72","Nursing personnel not elsewhere classified",46,720
"ISCO-68_ILO","en","0-73","Professional midwives",47,730
"ISCO-68_ILO","en","0-74","Midwifery personnel not elsewhere classified",48,740
"ISCO-68_ILO","en","0-75","Optometrists and opticians",49,750
"ISCO-68_ILO","en","0-76","Physiotherapists and occupational therapists",50,760
"ISCO-68_ILO","en","0-77","Medical X-ray technicians",51,770
"ISCO-68_ILO","en","0-79","Medical, dental, veterinary and related workers not elsewhere classified",52,790
"ISCO-68_ILO","en","0-8","Statisticians, Mathematicians, Systems Analysts and Related Technicians",53,800
"ISCO-68_ILO","en","0-81","Statisticians",54,810
"ISCO-68_ILO","en","0-82","Mathematicians and actuaries",55,820
"ISCO-68_ILO","en","0-83","Systems Analysts",56,830
"ISCO-68_ILO","en","0-84","Statistical and mathematical technicians",57,840
"ISCO-68_ILO","en","0-9","Economists",58,900
"ISCO-68_ILO","en","0-90","Economists",59,901
"ISCO-68_ILO","en","1-1","Accountants",60,1100
"ISCO-68_ILO","en","1-10","Accountants",61,1101
"ISCO-68_ILO","en","1-2","Jurists",62,1200
"ISCO-68_ILO","en","1-21","Lawyers",63,1210
"ISCO-68_ILO","en","1-22","Judges",64,1220
"ISCO-68_ILO","en","1-29","Jurists not elsewhere classified",65,1290
"ISCO-68_ILO","en","1-3","Teachers",66,1300
"ISCO-68_ILO","en","1-31","University and higher education teachers",67,1310
"ISCO-68_ILO","en","1-32","Secondary education teachers",68,1320
"ISCO-68_ILO","en","1-33","Primary education teachers",69,1330
"ISCO-68_ILO","en","1-34","Pre-primary education teachers",70,1340
"ISCO-68_ILO","en","1-35","Special education teachers",71,1350
"ISCO-68_ILO","en","1-39","Teachers not elsewhere classified",72,1390
"ISCO-68_ILO","en","1-4","Workers in Religion",73,1400
"ISCO-68_ILO","en","1-41","Ministers of religion and related members of religious orders",74,1410
"ISCO-68_ILO","en","1-49","Workers in religion not elsewhere classified",75,1490
"ISCO-68_ILO","en","1-5","Authors, Journalists and Related Writers",76,1500
"ISCO-68_ILO","en","1-51","Authors and critics",77,1510
"ISCO-68_ILO","en","1-59","Authors, journalists and related writers not elsewhere classified",78,1590
"ISCO-68_ILO","en","1-6","Sculptors, Painters, Photographers and Related Creative Artists",79,1600
"ISCO-68_ILO","en","1-61","Sculptors, painters and related artists",80,1610
"ISCO-68_ILO","en","1-62","Commercial artists and designers",81,1620
"ISCO-68_ILO","en","1-63","Photographers and cameramen",82,1630
"ISCO-68_ILO","en","1-7","Composers and Performing Artists",83,1700
"ISCO-68_ILO","en","1-71","Composers, musicians and singers",84,1710
"ISCO-68_ILO","en","1-72","Choreographers and dancers",85,1720
"ISCO-68_ILO","en","1-73","Actors and stage directors",86,1730
"ISCO-68_ILO","en","1-74","Producers, performing arts",87,1740
"ISCO-68_ILO","en","1-75","Circus performers",88,1750
"ISCO-68_ILO","en","1-79","Performing artists not elsewhere classified",89,1790
"ISCO-68_ILO","en","1-8","Athletes, Sportsmen and Related Workers",90,1800
"ISCO-68_ILO","en","1-80","Athletes, sportsmen and related workers",91,1801
"ISCO-68_ILO","en","1-9","Professional, Technical and Related Workers Not Elsewhere Classified",92,1900
"ISCO-68_ILO","en","1-91","Librarians, archivists and curators",93,1910
"ISCO-68_ILO","en","1-92","Sociologists, anthropologists and related scientists",94,1920
"ISCO-68_ILO","en","1-93","Social workers",95,1930
"ISCO-68_ILO","en","1-94","Personnel and occupational specialists",96,1940
"ISCO-68_ILO","en","1-95","Philologists, translators and interpreters",97,1950
"ISCO-68_ILO","en","1-99","Other professional, technical and related workers",98,1990
"ISCO-68_ILO","en","2","Administrative and Managerial Workers",99,2000
"ISCO-68_ILO","en","2-0","Legislative Officials and Government Administrators",100,2001
"ISCO-68_ILO","en","2-01","Legislative officials",101,2010
"ISCO-68_ILO","en","2-02","Government administrators",102,2020
"ISCO-68_ILO","en","2-1","Managers",103,2100
"ISCO-68_ILO","en","2-11","General managers",104,2110
"ISCO-68_ILO","en","2-12","Production managers (except farm)",105,2120
"ISCO-68_ILO","en","2-19","Managers not elsewhere classified",106,2190
"ISCO-68_ILO","en","3","Clerical and Related Workers",107,3000
"ISCO-68_ILO","en","3-0","Clerical Supervisors",108,3001
"ISCO-68_ILO","en","3-00","Clerical supervisors",109,3002
"ISCO-68_ILO","en","3-1","Government Executive Officials",110,3100
"ISCO-68_ILO","en","3-10","Government executive officials",111,3101
"ISCO-68_ILO","en","3-2","Stenographers, Typists and Card- and Tape-Punching Machine Operators",112,3200
"ISCO-68_ILO","en","3-21","Stenographers, typists and teletypists",113,3210
"ISCO-68_ILO","en","3-22","Card- and tape-punching machine operators",114,3220
"ISCO-68_ILO","en","3-3","Bookkeepers, Cashiers and Related Workers",115,3300
"ISCO-68_ILO","en","3-31","Bookkeepers and cashiers",116,3310
"ISCO-68_ILO","en","3-39","Bookkeepers, cashiers and related workers not elsewhere classified",117,3390
"ISCO-68_ILO","en","3-4","Computing Machine Operators",118,3400
"ISCO-68_ILO","en","3-41","Bookkeeping and calculating machine operators",119,3410
"ISCO-68_ILO","en","3-42","Automatic data-processing machine operators",120,3420
"ISCO-68_ILO","en","3-5","Transport and Communications Supervisors",121,3500
"ISCO-68_ILO","en","3-51","Railway station masters",122,3510
"ISCO-68_ILO","en","3-52","Postmasters",123,3520
"ISCO-68_ILO","en","3-59","Transport and communications supervisors not elsewhere classified",124,3590
"ISCO-68_ILO","en","3-6","Transport Conductors",125,3600
"ISCO-68_ILO","en","3-60","Transport conductors",126,3601
"ISCO-68_ILO","en","3-7","Mail Distribution Clerks",127,3700
"ISCO-68_ILO","en","3-70","Mail distribution clerks",128,3701
"ISCO-68_ILO","en","3-8","Telephone and Telegraph Operators",129,3800
"ISCO-68_ILO","en","3-80","Telephone and telegraph operators",130,3801
"ISCO-68_ILO","en","3-9","Clerical and Related Workers Not Elsewhere Classified",131,3900
"ISCO-68_ILO","en","3-91","Stock clerks",132,3910
"ISCO-68_ILO","en","3-92","Material and production planning clerks",133,3920
"ISCO-68_ILO","en","3-93","Correspondence and reporting clerks",134,3930
"ISCO-68_ILO","en","3-94","Receptionists and travel agency clerks",135,3940
"ISCO-68_ILO","en","3-95","Library and filing clerks",136,3950
"ISCO-68_ILO","en","3-99","Clerks not elsewhere classified",137,3990
"ISCO-68_ILO","en","4","Sales Workers",138,4000
"ISCO-68_ILO","en","4-0","Managers (Wholesale and Retail Trade)",139,4001
